total_points,position,was_home,opponent_team,average_goals_per_90,average_assists_per_90,average_ict_per_90,average_goals_conceded_per_90,value,average_influence_per_90,average_creativity_per_90,average_threat_per_90
0,2,False,7,0,0,0,0,45.0,0,0,0
0,2,True,10,0,0,0,0,44.0,0,0,0
0,2,False,3,0,0,0.0,0,44.0,0.0,0.0,0.0
0,2,True,9,0,0,0.0,0,43.0,0.0,0.0,0.0
0,2,True,2,0,0,0.0,0,43.0,0.0,0.0,0.0
0,2,False,14,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,False,4,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,True,18,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,True,12,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,False,11,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,False,17,0,0,0.0,0,42.0,0.0,0.0,0.0
0,2,True,16,0,0,0.0,0,42.0,0.0,0.0,0.0
0,1,True,12,0,0,0,0,45.0,0,0,0
0,1,False,20,0,0,0,0,45.0,0,0,0
2,1,True,4,0,0,0.0,0,45.0,0.0,0.0,0.0
3,1,False,1,0,0,0.0,0,45.0,0.0,0.0,0.0
2,1,True,5,0.0,0.0,2.6,2.0,45.0,25.8,0.0,0.0
3,1,False,18,0.0,0.0,3.650000000000001,2.0,45.0,36.3,0.0,0.0
1,1,False,16,0.0,0.0,3.4000000000000004,1.6666666666666667,45.0,30.533333333333335,3.3333333333333335,0.0
2,1,True,15,0.0,0.0,4.0,1.75,45.0,37.3,2.5,0.0
2,1,False,19,0.0,0.0,3.36,1.8,45.0,31.439999999999998,2.0,0.0
2,1,True,3,0.0,0.0,3.6333333333333333,2.1666666666666665,45.0,34.56666666666666,1.6666666666666667,0.0
11,1,True,2,0.0,0.0,3.5714285714285716,2.2857142857142856,45.0,34.17142857142857,1.4285714285714286,0.0
2,1,False,11,0.0,0.0,3.525,2.25,45.0,33.85,1.25,0.0
0,1,True,8,0.0,0.0,3.6555555555555554,2.0,45.0,35.31111111111111,1.1111111111111112,0.0
2,3,False,7,0,0,0,0,50.0,0,0,0
12,3,True,10,0,0,0,0,50.0,0,0,0
6,3,False,3,0.0,0.0,3.4,0.0,50.0,16.6,15.0,2.0
2,3,True,9,0.5,0.5,7.1,1.0,50.0,35.7,20.25,15.0
2,3,True,2,0.33707865168539325,0.6741573033707865,7.01123595505618,0.6741573033707865,50.0,32.764044943820224,25.1123595505618,12.134831460674157
2,3,False,14,0.25210084033613445,0.5042016806722689,6.378151260504202,0.7563025210084033,50.0,26.571428571428573,25.084033613445378,12.100840336134453
5,3,False,4,0.20134228187919462,0.40268456375838924,6.02013422818792,0.8053691275167785,50.0,23.758389261744966,25.06711409395973,11.275167785234899
9,3,True,18,0.16759776536312848,0.33519553072625696,6.284916201117318,1.1731843575418994,51.0,22.32402234636871,23.363128491620113,17.094972067039105
2,3,True,12,0.14354066985645933,0.430622009569378,6.301435406698564,1.0047846889952152,51.0,22.708133971291865,25.20574162679426,15.07177033492823
3,3,False,11,0.2510460251046025,0.37656903765690375,6.602510460251045,1.00418410041841,51.0,24.40167364016736,24.577405857740587,17.07112970711297
10,3,False,17,0.22304832713754646,0.3345724907063197,6.33457249070632,1.1152416356877324,51.0,23.531598513011147,22.65055762081785,17.17472118959108
0,3,True,16,0.20066889632107024,0.3010033444816054,5.829431438127089,1.0033444816053512,51.0,22.033444816053507,20.658862876254183,15.652173913043478
0,3,False,7,0,0,0,0,45.0,0,0,0
0,3,True,10,0,0,0,0,45.0,0,0,0
0,3,False,3,0,0,0.0,0,44.0,0.0,0.0,0.0
2,3,True,9,0,0,0.0,0,44.0,0.0,0.0,0.0
0,3,True,2,0,0,0.0,0,44.0,0.0,0.0,0.0
0,3,False,14,0.0,0.0,0.8,1.0,44.0,4.2,3.8,0.0
0,3,False,4,0.0,0.0,0.8,1.0,43.0,4.2,3.8,0.0
0,3,True,18,0.0,0.0,0.8,1.0,43.0,4.2,3.8,0.0
0,3,True,12,0.0,0.0,0.8,1.0,43.0,4.2,3.8,0.0
0,3,False,11,0.0,0.0,0.8,1.0,43.0,4.2,3.8,0.0
0,3,False,17,0.0,0.0,0.8,1.0,43.0,4.2,3.8,0.0
0,3,True,16,0.0,0.0,0.8,1.0,42.0,4.2,3.8,0.0
0,2,False,7,0,0,0,0,45.0,0,0,0
0,2,True,10,0,0,0,0,44.0,0,0,0
0,2,False,3,0,0,0.0,0,44.0,0.0,0.0,0.0
